date,claims
1/4/2020,212000
1/11/2020,207000
1/18/2020,220000
1/25/2020,212000
2/1/2020,201000
2/8/2020,204000
2/15/2020,215000
2/22/2020,220000
2/29/2020,217000
3/7/2020,211000
3/14/2020,282000
3/21/2020,3307000
3/28/2020,6867000
4/4/2020,6615000
4/11/2020,5237000
4/18/2020,4442000
4/25/2020,3867000
5/2/2020,3176000
5/9/2020,2687000
5/16/2020,2446000
5/23/2020,2123000
5/30/2020,1897000
6/6/2020,1566000
6/13/2020,1540000
6/20/2020,1482000
6/27/2020,1408000
7/4/2020,1310000
7/11/2020,1300000
7/18/2020,1416000
7/25/2020,1434000
8/1/2020,1186000
8/8/2020,963000
8/15/2020,1106000
8/22/2020,1006000
