date,cases,deaths
1/22/2020,1,0
1/23/2020,0,0
1/24/2020,1,0
1/25/2020,0,0
1/26/2020,3,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,2,0
2/1/2020,1,0
2/2/2020,0,0
2/3/2020,3,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,1,0
2/12/2020,0,0
2/13/2020,1,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,2,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,1,0
2/28/2020,0,0
2/29/2020,8,1
3/1/2020,6,0
3/2/2020,23,5
3/3/2020,20,1
3/4/2020,31,4
3/5/2020,70,1
3/6/2020,48,2
3/7/2020,115,3
3/8/2020,114,4
3/9/2020,68,1
3/10/2020,192,6
3/11/2020,398,5
3/12/2020,452,10
3/13/2020,596,9
3/14/2020,713,6
3/15/2020,98,12
3/16/2020,1392,27
3/17/2020,1781,34
3/18/2020,2776,57
3/19/2020,5240,77
3/20/2020,5322,97
3/21/2020,6346,94
3/22/2020,7936,145
3/23/2020,10089,183
3/24/2020,10262,237
3/25/2020,11943,312
3/26/2020,18036,413
3/27/2020,18185,554
3/28/2020,19793,634
3/29/2020,19136,627
3/30/2020,21502,820
3/31/2020,26017,1224
4/1/2020,25481,1241
4/2/2020,30405,1586
4/3/2020,31937,1315
4/4/2020,33152,1284
4/5/2020,27874,1439
4/6/2020,29642,1668
4/7/2020,30777,2309
4/8/2020,31694,2116
4/9/2020,34756,2075
4/10/2020,33501,2093
4/11/2020,30026,2046
4/12/2020,28553,1771
4/13/2020,25291,1828
4/14/2020,27065,2404
4/15/2020,29096,2549
4/16/2020,31298,2113
4/17/2020,32724,2614
4/18/2020,28341,2386
4/19/2020,26038,1229
4/20/2020,27341,1795
4/21/2020,25602,2457
4/22/2020,28104,2389
4/23/2020,34195,2437
4/24/2020,36291,2118
4/25/2020,32921,1650
4/26/2020,27689,1293
4/27/2020,22465,1425
4/28/2020,24535,2219
4/29/2020,27520,2506
4/30/2020,29629,2296
5/1/2020,34162,1869
5/2/2020,29195,1556
5/3/2020,25587,1096
5/4/2020,22475,1309
5/5/2020,24185,2307
5/6/2020,25256,2458
5/7/2020,27882,1919
5/8/2020,27178,1727
5/9/2020,25733,1479
5/10/2020,19764,879
5/11/2020,18878,1013
5/12/2020,22190,1615
5/13/2020,20958,1751
5/14/2020,27617,1774
5/15/2020,25300,1661
5/16/2020,25101,1223
5/17/2020,19004,752
5/18/2020,21769,770
5/19/2020,20449,1551
5/20/2020,23807,1568
5/21/2020,25355,1223
5/22/2020,24141,1269
5/23/2020,21823,1121
5/24/2020,20813,608
5/25/2020,18991,513
5/26/2020,18883,685
5/27/2020,18282,1509
5/28/2020,22815,1182
5/29/2020,24504,1166
5/30/2020,24450,969
5/31/2020,19910,586
6/1/2020,17355,772
6/2/2020,20895,1033
6/3/2020,19958,990
6/4/2020,21351,1009
6/5/2020,25224,970
6/6/2020,22732,680
6/7/2020,17731,451
6/8/2020,17415,505
6/9/2020,18127,940
6/10/2020,20794,917
6/11/2020,22950,881
6/12/2020,25330,822
6/13/2020,25556,750
6/14/2020,19824,298
6/15/2020,19660,391
6/16/2020,23705,839
6/17/2020,25559,751
6/18/2020,27809,704
6/19/2020,31480,672
6/20/2020,32749,610
6/21/2020,26439,255
6/22/2020,30536,406
6/23/2020,35188,837
6/24/2020,34935,757
6/25/2020,39873,2422
6/26/2020,45255,605
6/27/2020,42705,489
6/28/2020,39605,241
6/29/2020,40804,350
6/30/2020,45746,721
7/1/2020,51174,673
7/2/2020,54461,698
7/3/2020,53312,639
7/4/2020,45880,247
7/5/2020,49883,271
7/6/2020,44953,325
7/7/2020,60021,1195
7/8/2020,58601,820
7/9/2020,63247,990
7/10/2020,67791,811
7/11/2020,60188,676
7/12/2020,59017,428
7/13/2020,59215,361
7/14/2020,67417,900
7/15/2020,67328,949
7/16/2020,77255,943
7/17/2020,71558,908
7/18/2020,63698,853
7/19/2020,61847,415
7/20/2020,61417,379
7/21/2020,64534,1082
7/22/2020,71695,1195
7/23/2020,68663,1114
7/24/2020,73715,1130
7/25/2020,65490,900
7/26/2020,54953,470
7/27/2020,56414,1077
7/28/2020,61660,1244
7/29/2020,70776,1403
7/30/2020,67619,1233
7/31/2020,67023,1259
8/1/2020,58406,1133
8/2/2020,47511,413
8/3/2020,45368,540
8/4/2020,57540,1399
8/5/2020,52810,1388
8/6/2020,59692,1250
