date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper
2/5/2020,0.0,,,,125,66,178,125,66,178
2/6/2020,0.0,,,,125,66,178,251,132,356
2/7/2020,0.0,,,,125,66,178,376,197,534
2/8/2020,0.0,,,,125,66,178,502,264,712
2/9/2020,0.0,,,,287,163,405,789,441,1102
2/10/2020,0.0,,,,287,163,405,1077,610,1501
2/11/2020,0.0,,,,287,163,405,1364,776,1903
2/12/2020,0.0,,,,287,163,405,1652,941,2305
2/13/2020,0.0,,,,451,272,630,2102,1231,2915
2/14/2020,0.0,,,,661,402,921,2763,1637,3831
2/15/2020,0.0,,,,1200,738,1613,3963,2430,5404
2/16/2020,0.0,,,,2397,1456,3079,6360,4013,8421
2/17/2020,0.0,,,,3896,2512,4917,10256,6660,13254
2/18/2020,0.0,,,,4305,2820,5447,14562,9521,18674
2/19/2020,0.0,,,,5053,3372,6398,19615,12953,25025
2/20/2020,0.0,,,,5193,3472,6589,24683,16370,31426
2/21/2020,0.0,,,,5724,3888,7249,30281,20216,38478
2/22/2020,0.0,,,,6763,4661,8566,36919,24855,46825
2/23/2020,0.0,,,,8011,5625,10167,44805,30492,56727
2/24/2020,0.0,,,,10187,7150,12998,54705,37552,69259
2/25/2020,0.0,,,,16065,10707,20471,70482,48275,89207
2/26/2020,0.0,,,,19490,13234,24885,89685,61389,113644
2/27/2020,0.0,,,,21237,14313,27350,110635,75554,140574
2/28/2020,0.0,,,,25811,17236,33607,135995,92519,173544
2/29/2020,1.0,,,,31609,20559,41839,166943,112687,214419
3/1/2020,0.0,,,,41136,26165,55096,206879,138175,267784
3/2/2020,5.0,,,,51217,32258,69268,255700,169085,333827
3/3/2020,1.0,,,,63322,39660,86278,315125,206325,415043
3/4/2020,4.0,,,,77793,48099,106991,388613,251710,516418
3/5/2020,1.0,,,,97353,59646,134908,480913,308082,644716
3/6/2020,2.0,,,,119386,72481,166748,595105,377197,804655
3/7/2020,3.0,,,,144259,87752,202177,733639,461138,999390
3/8/2020,4.0,,,,171401,105652,238758,898278,562122,1229483
3/9/2020,1.0,,,,200187,126868,274658,1090454,683242,1494010
3/10/2020,6.0,,,,229552,151773,310365,1309818,827619,1791515
3/11/2020,5.0,,,,255718,173642,342127,1549471,990511,2113130
3/12/2020,10.0,,,,277059,188863,369729,1807040,1166003,2458013
3/13/2020,8.0,,,,293420,202972,389466,2079222,1354544,2820132
3/14/2020,7.0,,,,304572,210110,400196,2357983,1547321,3186658
3/15/2020,12.0,,,,311839,216332,410800,2638213,1743130,3555455
3/16/2020,27.0,,,,315676,221329,420669,2912753,1938486,3920787
3/17/2020,35.0,,,,316993,224743,424734,3178529,2131319,4275969
3/18/2020,59.0,,,,316684,227988,424581,3431891,2320232,4613893
3/19/2020,73.0,,,,315302,230491,421942,3669400,2503472,4928296
3/20/2020,99.0,,,,313327,232377,419850,3885374,2677322,5212464
3/21/2020,99.0,,,,310873,233361,416398,4076861,2839494,5461325
3/22/2020,110.0,,,,308030,234040,411682,4240633,2987235,5670060
3/23/2020,189.0,,,,304931,233573,405484,4374162,3116666,5836028
3/24/2020,239.0,,,,301611,232542,397492,4475586,3223834,5958040
3/25/2020,324.0,,,,298094,230301,390529,4544128,3303632,6037186
3/26/2020,408.0,,,,294362,228387,384136,4582771,3359493,6078282
3/27/2020,518.0,,,,290388,226545,377022,4596100,3397862,6084742
3/28/2020,633.0,,,,286171,223004,369592,4588851,3418080,6064146
3/29/2020,586.0,,,,281742,218792,361943,4566022,3426185,6025182
3/30/2020,692.0,,,,277051,214442,354721,4531234,3423155,5968696
3/31/2020,1085.0,,,,272147,209865,347175,4487705,3410161,5895372
4/1/2020,1172.0,,,,267047,205066,339767,4437759,3388791,5811072
4/2/2020,1503.0,,,,261780,200490,332731,4382855,3359720,5720189
4/3/2020,1392.0,,,,256375,196226,326096,4323928,3324027,5625359
4/4/2020,1523.0,,,,250858,191747,319082,4261459,3282160,5525661
4/5/2020,1590.0,,,,245265,187225,312205,4195851,3235042,5422724
4/6/2020,1770.0,,,,239635,182743,305542,4127456,3183076,5317940
4/7/2020,2571.0,,,,234004,178185,298569,4056529,3127228,5212289
4/8/2020,2146.0,,,,228406,173748,291535,3983325,3068154,5107369
4/9/2020,2228.0,,,,222873,169445,284846,3908104,3007083,5002433
4/10/2020,2218.0,,,,217428,164955,277760,3831171,2943501,4896638
4/11/2020,2119.0,,,,212091,160818,271154,3752874,2877666,4791182
4/12/2020,1816.0,,,,206875,156810,264825,3673579,2811381,4686679
4/13/2020,1946.0,,,,201789,152728,258641,3593626,2745249,4583523
4/14/2020,2455.0,,,,196837,148731,252694,3513411,2679494,4481560
4/15/2020,2609.0,,,,192019,144794,247218,3433283,2614402,4381628
4/16/2020,2176.0,,,,187334,140923,241768,3353570,2550254,4283629
4/17/2020,2093.0,,,,182779,137199,236475,3274569,2486969,4187365
4/18/2020,1960.0,,,,178350,133429,231465,3196544,2424187,4092722
4/19/2020,1931.0,,,,174042,129647,226734,3119729,2362094,4000400
4/20/2020,2186.0,,,,169850,126033,221858,3044314,2300901,3910090
4/21/2020,2548.0,,,,165771,122595,217365,2970449,2240737,3821954
4/22/2020,2434.0,,,,161800,119197,212843,2898245,2181735,3736300
4/23/2020,2466.0,,,,157934,115935,208558,2827773,2123902,3653413
4/24/2020,2154.0,,,,154171,112764,204503,2759070,2067185,3573173
4/25/2020,1698.0,,,,150509,109623,200491,2692151,2011818,3496007
4/26/2020,1329.0,,,,146947,106582,196455,2627007,1957541,3421406
4/27/2020,1466.0,,,,143481,103474,192713,2563613,1904166,3349385
4/28/2020,2241.0,,,,140113,100477,188997,2501937,1851874,3279819
4/29/2020,2521.0,,,,136839,97544,185318,2441939,1800639,3212502
4/30/2020,2322.0,,,,133661,94723,181775,2383581,1750529,3147103
5/1/2020,1891.0,,,,130580,91960,178351,2326827,1701535,3083710
5/2/2020,1692.0,,,,127596,89184,175051,2271644,1653494,3022299
5/3/2020,1120.0,,,,124710,86598,171873,2218004,1606644,2962710
5/4/2020,1333.0,,,,121920,84066,168801,2165882,1561050,2904775
5/5/2020,2318.0,,,,119235,81673,165817,2115267,1516679,2848726
5/6/2020,2364.0,,,,116655,79342,162980,2066150,1473416,2794330
5/7/2020,1934.0,,,,114182,77121,160355,2018532,1431331,2741828
5/8/2020,1747.0,,,,111823,75030,157772,1972421,1390416,2691024
5/9/2020,1488.0,,,,109582,73103,155336,1927833,1350746,2641840
5/10/2020,893.0,,,,107471,71255,153036,1884794,1312372,2594370
5/11/2020,1014.0,,,,105497,69543,150793,1843344,1275330,2548697
5/12/2020,1627.0,,,,103671,67969,148897,1803534,1239825,2504870
5/13/2020,1764.0,,,,102007,66505,147245,1765429,1205852,2463105
5/14/2020,1783.0,,,,100518,65225,145672,1729108,1173531,2423444
5/15/2020,1681.0,,,,99217,64043,144237,1694664,1142848,2385891
5/16/2020,1216.0,,,,98119,62981,143015,1662203,1113869,2350540
5/17/2020,758.0,,,,97237,62079,142225,1631843,1086772,2317702
5/18/2020,1172.0,,,,96583,61397,141604,1603717,1061585,2287419
5/19/2020,1552.0,,,,96172,60817,141147,1577968,1038354,2259750
5/20/2020,1526.0,,,,96013,60634,141078,1554745,1017345,2235000
5/21/2020,1217.0,,,,96116,60580,141429,1534206,998625,2213434
