Date,Actual,Baseline,Counterfactual
1/2020,57708497000.0,,
2/2020,55357812000.0,,55357812000.0
3/2020,32559107000.0,,67420192977.0
4/2020,2559233000.0,,64305392035.0
5/2020,6428011260.0,,67737827247.0
6/2020,13432206160.0,,71229626797.0
7/2020,20033812444.600014,20033812444.600014,74411367247.0
8/2020,,18328076246.202766,71189248837.0
9/2020,,20904278759.012054,60959193777.0
10/2020,,22709993623.501724,66262443952.0
11/2020,,,62945621162.0
12/2020,,,65180779623.0
1/2021,,,59095984035.0
2/2021,,,55863133131.0
3/2021,,,70129765855.0
4/2021,,,66881156605.0
5/2021,,,70442052135.0
6/2021,,,74063822187.0
7/2021,,,77362377734.0
8/2021,,,74003176781.0
9/2021,,,63360843032.0
10/2021,,,68864485963.0
11/2021,,,65409353451.0
12/2021,,,67723703153.0
1/2022,,,61394047757.0
2/2022,,,58028464149.0
3/2022,,,72839338732.0
4/2022,,,69456921174.0
5/2022,,,73146277022.0
6/2022,,,76898017577.0
7/2022,,,80313388221.0
8/2022,,,76817104725.0
9/2022,,,65762492288.0
10/2022,,,71466527974.0
11/2022,,,67873085741.0
12/2022,,,70266626684.0
1/2023,,,63692111478.0
2/2023,,,60193795166.0
3/2023,,,75548911610.0
4/2023,,,72032685744.0
5/2023,,,75850501910.0
6/2023,,,79732212967.0
7/2023,,,83264398708.0
8/2023,,,79631032669.0
9/2023,,,68164141543.0
10/2023,,,74068569985.0
11/2023,,,70336818031.0
12/2023,,,72809550214.0
1/2024,,,65990175200.0
2/2024,,,62359126184.0
3/2024,,,78258484488.0
4/2024,,,74608450313.0
5/2024,,,78554726797.0
6/2024,,,82566408357.0
7/2024,,,86215409195.0
8/2024,,,82444960612.0
9/2024,,,70565790798.0
10/2024,,,76670611996.0
11/2024,,,72800550321.0
,,,75352473745.0
